,Fitting Time,accuracy,TP,TN,FP,FN,Precision: 0,Precision: 1,Recall: 0,Recall: 1,F1 Score,metric,Classifier,Feature Set,Dataset
1,78.74921369552612,0.9981804703821012,14807.0,14817.0,21.0,33.0,0.9977777777777778,0.9985837604531966,0.9985847149211484,0.9977762803234501,0.998179857085075,accuracy,Decision Tree,Mutual Information,binary
2,69.634592294693,0.998045690410405,14811.0,14809.0,29.0,29.0,0.9980455587006335,0.9980458221024259,0.9980455587006335,0.9980458221024259,0.9980458221024259,accuracy,Decision Tree,Mutual Information,binary
3,70.94773268699646,0.9981804090709977,14815.0,14808.0,30.0,24.0,0.9983818770226537,0.997979117547996,0.9979781641730692,0.9983826403396455,0.9981808381619729,accuracy,Decision Tree,Mutual Information,binary
4,64.79699754714966,0.9976075748896451,14804.0,14802.0,36.0,35.0,0.9976410325537508,0.9975741239892183,0.997573797007683,0.9976413504953164,0.9976077361097072,accuracy,Decision Tree,Mutual Information,binary
fold average,72.58492546081543,0.997971533041202,14807.4,14810.0,28.0,32.2,0.9978306737430758,0.9981127655740989,0.9981129532281979,0.997830135094216,0.9979713512312104,accuracy,Decision Tree,Mutual Information,binary
0,72.23225855827332,0.9979109104387088,14811.0,14805.0,33.0,29.0,0.9980450316839693,0.9977768795472919,0.9977759805903761,0.9980458221024259,0.9979113327044873,accuracy,Decision Tree,RFE Sets,binary
1,83.26036143302917,0.9983489453467215,14816.0,14813.0,25.0,24.0,0.9983824223225719,0.9983154773937066,0.9983151368108909,0.9983827493261456,0.998349112226677,accuracy,Decision Tree,RFE Sets,binary
2,79.0053460597992,0.9983152503537974,14821.0,14807.0,31.0,19.0,0.9987184675569944,0.9979127390250472,0.9979107696455047,0.9987196765498653,0.9983160447258521,accuracy,Decision Tree,RFE Sets,binary
3,79.47446942329407,0.9979782323011086,14816.0,14801.0,37.0,23.0,0.9984484619535888,0.9975089207567495,0.9975064024801186,0.9984500303254936,0.9979792536710225,accuracy,Decision Tree,RFE Sets,binary
4,71.27068209648132,0.9987532432523503,14820.0,14820.0,18.0,19.0,0.998719590268886,0.9987868985038415,0.9987868985038415,0.998719590268886,0.9987532432523503,accuracy,Decision Tree,RFE Sets,binary
fold average,77.04862351417542,0.9982613163385373,14816.8,14809.2,28.8,22.8,0.998462794757202,0.9980601830453274,0.9980590376061464,0.9984635737145633,0.9982617973160778,accuracy,Decision Tree,RFE Sets,binary
0,60.032801389694214,0.9604757733000876,14244.0,14261.0,577.0,596.0,0.9598842296560544,0.9610687537952904,0.9611133575953632,0.9598382749326145,0.9604531202589258,accuracy,Decision Tree,PCA,binary
1,59.435890674591064,0.957510613922771,14183.0,14234.0,604.0,657.0,0.9558793902357129,0.9591533103401637,0.9592937053511255,0.9557277628032345,0.957437472575691,accuracy,Decision Tree,PCA,binary
2,62.32557964324951,0.963980052564189,14287.0,14322.0,516.0,553.0,0.9628235294117647,0.965142200905222,0.9652244237767893,0.9627358490566038,0.9639375231926594,accuracy,Decision Tree,PCA,binary
3,57.368871212005615,0.957239613168447,14168.0,14240.0,598.0,671.0,0.9549996646770841,0.9595015576323987,0.9596980725165116,0.9547813194959229,0.9571356189832799,accuracy,Decision Tree,PCA,binary
4,56.364938259124756,0.9627657782120834,14258.0,14314.0,524.0,581.0,0.9609936220208124,0.9645514815315924,0.9646852675562745,0.9608464182222521,0.9626953850308902,accuracy,Decision Tree,PCA,binary
fold average,59.10561623573303,0.9603943662335157,14228.0,14274.2,563.8,611.6,0.9589160872002858,0.9618834608409335,0.9620029653592127,0.9587859249021257,0.9603318240082892,accuracy,Decision Tree,PCA,binary
