,Fitting Time,accuracy,Precision,Recall,F1 Score,metric,Classifier,Feature Set,Dataset
1,1.983316898,0.268856336,0.411815693,0.268857395,0.177858096,accuracy,Naive Bayes,Mutual Information,multiclass
2,2.019264221,0.273114142,0.409916431,0.273113455,0.176888536,accuracy,Naive Bayes,Mutual Information,multiclass
3,2.145211697,0.164576359,0.321541483,0.164578361,0.105532121,accuracy,Naive Bayes,Mutual Information,multiclass
4,2.065095186,0.226402838,0.354696721,0.226398289,0.134457323,accuracy,Naive Bayes,Mutual Information,multiclass
5,2.160190582,0.174653142,0.325577022,0.17465501,0.122358649,accuracy,Naive Bayes,Mutual Information,multiclass
fold average,2.074615717,0.221520564,0.36470947,0.221520502,0.143418945,accuracy,Naive Bayes,Mutual Information,multiclass
1,0.397045374,0.297562438,0.238571585,0.297564971,0.232111397,accuracy,Naive Bayes,PCA,multiclass
2,0.400639057,0.30007162,0.23557778,0.300071415,0.233341143,accuracy,Naive Bayes,PCA,multiclass
3,0.414717913,0.296832059,0.238136101,0.29683431,0.231806776,accuracy,Naive Bayes,PCA,multiclass
4,0.39996171,0.297006945,0.227777452,0.296997549,0.229983077,accuracy,Naive Bayes,PCA,multiclass
5,0.421272278,0.296557238,0.239278836,0.296562107,0.2314048,accuracy,Naive Bayes,PCA,multiclass
fold average,0.406727266,0.29760606,0.235868351,0.29760607,0.231729439,accuracy,Naive Bayes,PCA,multiclass
